State,year,week,ILITOTAL
Arizona,2012,44,193
California,2012,44,853
Colorado,2012,44,124
Georgia,2012,44,384
Illinois,2012,44,836
New York,2012,44,84
Pennsylvania,2012,44,213
Texas,2012,44,1080
Washington,2012,44,61
Arizona,2012,45,224
California,2012,45,909
Colorado,2012,45,137
Georgia,2012,45,587
Illinois,2012,45,923
New York,2012,45,138
Pennsylvania,2012,45,235
Texas,2012,45,1314
Washington,2012,45,60
Arizona,2012,46,224
California,2012,46,857
Colorado,2012,46,164
Georgia,2012,46,787
Illinois,2012,46,885
New York,2012,46,171
Pennsylvania,2012,46,236
Texas,2012,46,1269
Washington,2012,46,86
Arizona,2012,47,193
California,2012,47,639
Colorado,2012,47,147
Georgia,2012,47,781
Illinois,2012,47,853
New York,2012,47,176
Pennsylvania,2012,47,208
Texas,2012,47,1644
Washington,2012,47,56
Arizona,2012,48,217
California,2012,48,946
Colorado,2012,48,230
Georgia,2012,48,1086
Illinois,2012,48,1116
New York,2012,48,260
Pennsylvania,2012,48,282
Texas,2012,48,1692
Washington,2012,48,75
Arizona,2012,49,281
California,2012,49,905
Colorado,2012,49,300
Georgia,2012,49,1338
Illinois,2012,49,1529
New York,2012,49,380
Pennsylvania,2012,49,424
Texas,2012,49,2229
Washington,2012,49,71
Arizona,2012,50,344
California,2012,50,920
Colorado,2012,50,402
Georgia,2012,50,1416
Illinois,2012,50,1995
New York,2012,50,506
Pennsylvania,2012,50,566
Texas,2012,50,2524
Washington,2012,50,100
Arizona,2012,51,424
California,2012,51,1025
Colorado,2012,51,556
Georgia,2012,51,1320
Illinois,2012,51,2271
New York,2012,51,562
Pennsylvania,2012,51,629
Texas,2012,51,3327
Washington,2012,51,88
Arizona,2012,52,446
California,2012,52,957
Colorado,2012,52,483
Georgia,2012,52,1427
Illinois,2012,52,2227
New York,2012,52,475
Pennsylvania,2012,52,642
Texas,2012,52,2924
Washington,2012,52,99
Arizona,2013,1,512
California,2013,1,812
Colorado,2013,1,492
Georgia,2013,1,783
Illinois,2013,1,1903
New York,2013,1,397
Pennsylvania,2013,1,539
Texas,2013,1,3023
Washington,2013,1,127
Arizona,2013,2,649
California,2013,2,1255
Colorado,2013,2,705
Georgia,2013,2,1014
Illinois,2013,2,2008
New York,2013,2,627
Pennsylvania,2013,2,762
Texas,2013,2,3518
Washington,2013,2,173
Arizona,2013,3,934
California,2013,3,1783
Colorado,2013,3,891
Georgia,2013,3,818
Illinois,2013,3,1790
New York,2013,3,647
Pennsylvania,2013,3,892
Texas,2013,3,3430
Washington,2013,3,231
Arizona,2013,4,1046
California,2013,4,2043
Colorado,2013,4,757
Georgia,2013,4,605
Illinois,2013,4,1500
New York,2013,4,621
Pennsylvania,2013,4,608
Texas,2013,4,3284
Washington,2013,4,181
Arizona,2013,5,824
California,2013,5,2349
Colorado,2013,5,687
Georgia,2013,5,651
Illinois,2013,5,1572
New York,2013,5,468
Pennsylvania,2013,5,486
Texas,2013,5,2367
Washington,2013,5,174
Arizona,2013,6,730
California,2013,6,1993
Colorado,2013,6,593
Georgia,2013,6,686
Illinois,2013,6,1381
New York,2013,6,419
Pennsylvania,2013,6,412
Texas,2013,6,1822
Washington,2013,6,157
Arizona,2013,7,635
California,2013,7,1746
Colorado,2013,7,434
Georgia,2013,7,636
Illinois,2013,7,1282
New York,2013,7,540
Pennsylvania,2013,7,507
Texas,2013,7,1514
Washington,2013,7,114
Arizona,2013,8,490
California,2013,8,1365
Colorado,2013,8,396
Georgia,2013,8,660
Illinois,2013,8,1064
New York,2013,8,551
Pennsylvania,2013,8,431
Texas,2013,8,1247
Washington,2013,8,88
Arizona,2013,9,421
California,2013,9,1354
Colorado,2013,9,331
Georgia,2013,9,674
Illinois,2013,9,1194
New York,2013,9,434
Pennsylvania,2013,9,452
Texas,2013,9,1272
Washington,2013,9,96
Arizona,2013,10,358
California,2013,10,1399
Colorado,2013,10,262
Georgia,2013,10,754
Illinois,2013,10,1102
New York,2013,10,369
Pennsylvania,2013,10,350
Texas,2013,10,1350
Washington,2013,10,80
Arizona,2013,11,281
California,2013,11,1159
Colorado,2013,11,229
Georgia,2013,11,729
Illinois,2013,11,1073
New York,2013,11,378
Pennsylvania,2013,11,387
Texas,2013,11,1028
Washington,2013,11,47
Arizona,2013,12,239
California,2013,12,1017
Colorado,2013,12,156
Georgia,2013,12,590
Illinois,2013,12,1039
New York,2013,12,289
Pennsylvania,2013,12,296
Texas,2013,12,1042
Washington,2013,12,31
Arizona,2013,13,166
California,2013,13,871
Colorado,2013,13,147
Georgia,2013,13,572
Illinois,2013,13,954
New York,2013,13,179
Pennsylvania,2013,13,222
Texas,2013,13,913
Washington,2013,13,41
Arizona,2013,14,180
California,2013,14,715
Colorado,2013,14,133
Georgia,2013,14,480
Illinois,2013,14,932
New York,2013,14,173
Pennsylvania,2013,14,226
Texas,2013,14,806
Washington,2013,14,49
Arizona,2013,15,188
California,2013,15,687
Colorado,2013,15,112
Georgia,2013,15,327
Illinois,2013,15,746
New York,2013,15,162
Pennsylvania,2013,15,179
Texas,2013,15,835
Washington,2013,15,31
Arizona,2013,16,151
California,2013,16,609
