State,year,week,Total Positives
Arizona,2012,49,51
California,2012,49,15
Colorado,2012,49,89
Georgia,2012,49,484
Illinois,2012,49,32
New York,2012,49,192
Pennsylvania,2012,49,114
Texas,2012,49,249
Washington,2012,49,66
Arizona,2012,50,94
California,2012,50,19
Colorado,2012,50,114
Georgia,2012,50,474
Illinois,2012,50,47
New York,2012,50,408
Pennsylvania,2012,50,241
Texas,2012,50,391
Washington,2012,50,90
Arizona,2012,51,179
California,2012,51,24
Colorado,2012,51,142
Georgia,2012,51,415
Illinois,2012,51,73
New York,2012,51,700
Pennsylvania,2012,51,243
Texas,2012,51,594
Washington,2012,51,107
Arizona,2012,52,174
California,2012,52,45
Colorado,2012,52,156
Georgia,2012,52,420
Illinois,2012,52,71
New York,2012,52,656
Pennsylvania,2012,52,221
Texas,2012,52,717
Washington,2012,52,156
Arizona,2013,1,225
California,2013,1,76
Colorado,2013,1,214
Georgia,2013,1,425
Illinois,2013,1,50
New York,2013,1,625
Pennsylvania,2013,1,239
Texas,2013,1,737
Washington,2013,1,166
Arizona,2013,2,235
California,2013,2,119
Colorado,2013,2,184
Georgia,2013,2,308
Illinois,2013,2,44
New York,2013,2,742
Pennsylvania,2013,2,238
Texas,2013,2,851
Washington,2013,2,277
Arizona,2013,3,241
California,2013,3,165
Colorado,2013,3,232
Georgia,2013,3,188
Illinois,2013,3,29
New York,2013,3,664
Pennsylvania,2013,3,197
Texas,2013,3,766
Washington,2013,3,192
Arizona,2013,4,318
California,2013,4,359
Colorado,2013,4,206
Georgia,2013,4,110
Illinois,2013,4,22
New York,2013,4,412
Pennsylvania,2013,4,159
Texas,2013,4,679
Washington,2013,4,215
Arizona,2013,5,210
California,2013,5,354
Colorado,2013,5,143
Georgia,2013,5,130
Illinois,2013,5,16
New York,2013,5,355
Pennsylvania,2013,5,117
Texas,2013,5,427
Washington,2013,5,145
Arizona,2013,6,131
California,2013,6,241
Colorado,2013,6,131
Georgia,2013,6,200
Illinois,2013,6,8
New York,2013,6,245
Pennsylvania,2013,6,95
